			cJUN	AKT	ERK12	GSK3	Ikb	JNK12	p38	p70S6	p90RSK	STAT3	CREB	HistH3	HSP27	IRS1s	MEK1222	p53	STAT6
Type	Well	Description	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI
X1	A1	1oHum_03hrs_X01_Col01rA_DMSO_DMSO	18954.0	4015.0	722.0	1697.0	664.5	230.5	232.0	6093.0	412.0	43.5	795.5	279.5	6429.5	954.0	2141.0	176.5	164.0
X2	B1	1oHum_03hrs_X02_Col01rB_DMSO_MEKi	16314.5	4029.5	423.0	1260.0	544.0	197.0	188.5	4954.0	289.0	42.0	623.0	224.5	5471.0	824.0	16785.0	158.0	163.5
X3	C1	1oHum_03hrs_X03_Col01rC_DMSO_p38i	14090.0	2766.0	635.0	1170.0	502.0	201.5	84.0	4562.5	328.0	43.5	555.5	236.5	1455.0	679.0	2160.0	164.0	141.5
X4	D1	1oHum_03hrs_X04_Col01rD_DMSO_PI3K	15114.5	2492.5	621.0	913.0	402.0	206.0	180.0	3986.0	321.0	36.0	481.5	204.0	6855.0	636.0	2282.0	143.0	168.0
X5	E1	1oHum_03hrs_X05_Col01rE_DMSO_IKKi	13106.0	1773.0	642.0	1136.0	237.0	247.0	403.0	6184.0	381.5	28.0	741.5	201.0	19004.5	1094.5	1320.0	144.0	177.0
X6	F1	1oHum_03hrs_X06_Col01rF_DMSO_mTOR	11145.0	2109.0	600.0	1094.0	452.0	150.5	132.0	2977.0	318.0	39.0	421.0	227.0	4193.5	567.0	1761.0	110.5	166.0
X7	G1	1oHum_03hrs_X07_Col01rG_DMSO_GSK3	13386.5	3089.0	647.0	1311.0	516.5	170.0	142.0	5043.0	397.0	43.0	669.0	213.5	6866.5	714.5	1965.0	132.0	169.0
X8	H1	1oHum_03hrs_X08_Col01rH_DMSO_JNKi	8011.0	2057.0	340.5	477.0	339.5	114.0	180.0	1941.5	189.0	24.0	427.5	131.5	7251.0	243.0	704.0	103.0	120.0
X9	A2	1oHum_03hrs_X09_Col02rA_FASL_DMSO	11385.5	2030.0	646.0	1499.0	571.0	198.0	168.0	4611.0	294.0	40.0	339.0	236.0	4062.5	669.0	1723.5	140.0	156.5
X10	B2	1oHum_03hrs_X10_Col02rB_FASL_MEKi	11600.0	2122.0	401.5	1019.5	488.0	177.5	141.0	4086.0	245.0	38.0	441.0	192.0	4049.0	591.0	12723.5	126.0	158.0
X11	C2	1oHum_03hrs_X11_Col02rC_FASL_p38i	13391.5	1933.0	648.0	965.0	571.0	199.0	94.5	4148.0	294.5	44.0	424.5	217.0	857.5	702.0	1834.5	126.0	172.5
X12	D2	1oHum_03hrs_X12_Col02rD_FASL_PI3K	11882.0	1211.0	683.0	559.0	488.0	150.5	122.0	3492.0	293.0	35.0	441.0	225.0	3201.0	561.5	1701.0	114.0	189.5
X13	E2	1oHum_03hrs_X13_Col02rE_FASL_IKKi	9454.5	1715.5	819.0	1241.0	281.0	275.5	323.0	6298.5	353.0	28.5	682.5	187.0	17301.0	923.0	1083.0	139.5	160.5
X14	F2	1oHum_03hrs_X14_Col02rF_FASL_mTOR	12493.0	3194.0	875.0	1484.0	558.0	201.5	146.5	3960.0	321.0	40.5	547.0	218.0	2902.0	629.5	2354.0	129.0	190.0
X15	G2	1oHum_03hrs_X15_Col02rG_FASL_GSK3	11342.0	1946.0	772.5	872.0	547.0	136.0	147.5	4116.0	264.0	38.5	481.0	210.0	2546.5	487.0	1546.5	106.0	154.0
X16	H2	1oHum_03hrs_X16_Col02rH_FASL_JNKi	6797.5	2699.0	461.0	692.0	572.0	142.0	220.0	2330.0	263.0	34.0	485.5	177.0	5419.0	323.0	964.5	100.0	159.0
X17	A3	1oHum_03hrs_X17_Col03rA_INFg_DMSO	15195.0	2625.0	502.5	1533.0	491.5	195.5	180.5	5390.0	308.0	57.0	579.0	246.0	6068.0	841.5	2167.0	142.0	179.0
X18	B3	1oHum_03hrs_X18_Col03rB_INFg_MEKi	12074.0	2017.0	373.0	1090.0	416.5	220.0	164.0	4714.5	274.5	60.5	437.0	229.5	5322.0	643.0	10602.5	120.0	179.5
X19	C3	1oHum_03hrs_X19_Col03rC_INFg_p38i	14395.0	2127.0	566.0	1102.0	437.5	201.0	109.0	4369.0	324.0	74.0	476.5	206.0	1351.0	733.5	2486.5	120.0	147.0
X20	D3	1oHum_03hrs_X20_Col03rD_INFg_PI3K	11659.0	1559.0	522.5	792.0	453.0	197.5	158.0	4577.5	331.0	67.0	442.0	226.0	5297.0	726.0	2145.5	125.0	172.0
X21	E3	1oHum_03hrs_X21_Col03rE_INFg_IKKi	10709.0	1547.0	707.0	987.5	279.5	275.5	283.5	6034.0	327.0	67.0	613.0	236.0	16249.0	909.0	1088.0	144.5	165.0
X22	F3	1oHum_03hrs_X22_Col03rF_INFg_mTOR	10489.0	2122.0	622.0	1256.0	364.5	183.0	129.0	4033.0	307.0	63.0	427.0	246.5	3331.5	692.5	1964.5	136.5	177.0
X23	G3	1oHum_03hrs_X23_Col03rG_INFg_GSK3	12009.0	1799.0	597.5	1016.0	492.5	184.5	122.0	4836.0	312.0	64.0	521.0	216.0	4110.5	713.0	1821.0	122.5	158.0
X24	H3	1oHum_03hrs_X24_Col03rH_INFg_JNKi	8369.0	2870.0	462.0	619.5	447.0	184.0	256.0	2473.0	256.0	42.0	458.0	164.0	7269.0	390.0	1137.0	110.5	125.0
X25	A4	1oHum_03hrs_X25_Col04rA_TNFa_DMSO	20930.0	5616.5	773.0	2141.0	1973.5	271.0	390.5	8779.0	456.0	50.0	833.5	270.0	11620.5	1100.0	2751.0	313.0	177.0
X26	B4	1oHum_03hrs_X26_Col04rB_TNFa_MEKi	20534.0	5793.0	456.5	1835.0	1639.0	315.0	324.0	8048.5	362.0	67.0	786.0	251.0	11815.0	1037.5	13893.5	290.0	214.0
X27	C4	1oHum_03hrs_X27_Col04rC_TNFa_p38i	18492.5	4422.0	703.0	1718.0	1617.0	280.0	221.0	7210.0	407.0	58.5	565.5	264.5	1851.0	939.0	2864.5	302.0	166.0
X28	D4	1oHum_03hrs_X28_Col04rD_TNFa_PI3K	16601.5	3027.0	558.0	1219.5	1271.0	250.5	249.0	6009.0	376.5	47.0	607.0	262.0	9694.5	913.0	2348.0	208.0	153.0
X29	E4	1oHum_03hrs_X29_Col04rE_TNFa_IKKi	14913.0	5247.0	858.0	1680.0	553.0	340.0	595.0	8331.0	398.5	29.0	774.5	229.0	23484.0	1348.0	1651.5	282.0	162.0
X30	F4	1oHum_03hrs_X30_Col04rF_TNFa_mTOR	15465.0	3532.5	644.5	2243.0	1119.0	215.0	231.0	4340.5	398.0	46.0	521.0	239.0	6931.0	887.0	2231.5	233.0	165.0
X31	G4	1oHum_03hrs_X31_Col04rG_TNFa_GSK3	15808.0	3213.0	710.0	1698.5	1451.0	195.0	250.5	6297.0	379.0	56.0	745.0	203.0	8927.5	886.0	2194.0	223.0	146.0
