Description,Type,Well,PL#,X,Col,Row,TR:HepG2:CellLine,TR:EGF:Cytokine,TR:HER:Cytokine,TR:AMP:Cytokine,TR:EPI:Cytokine,TR:TGF:Cytokine,TR:PI3Ki:Inhibitor,DA:p-Akt,DA:p-ERK1/2,DA:p-GSK-3a/b,DA:p-IkB-a,DA:p-JNK,DA:p-p38 MAPK,DA:p-p70 S6 Kinase,DA:p-p90RSK,DA:p-STAT3,DA:c-Jun,DA:CREB,DA:HistoneH3,DA:HSP27,DA:IRS-1,DA:MEK1,DA:p53,DA:STAT6,DV:p-Akt,DV:p-ERK1/2,DV:p-GSK-3a/b,DV:p-IkB-a,DV:p-JNK,DV:p-p38 MAPK,DV:p-p70 S6 Kinase,DV:p-p90RSK,DV:p-STAT3,DV:c-Jun,DV:CREB,DV:HistoneH3,DV:HSP27,DV:IRS-1,DV:MEK1,DV:p53,DV:STAT6
0-time-point-NoIh-is-03hrs-###-###-NOIh,DUM,DUM,DUM,DUM,DUM,DUM,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975,2772,5703,430,110,61,4575,245,248,7625,862,812,252,1751,13656,1123,5
0-time-point-PI3k-is-03hrs-###-###-PI3k,DUM,DUM,DUM,DUM,DUM,DUM,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,2984,3107,255,67,50,2352,174,217,6486,603,541,197,1076,13918,571,0
EGFR_HepG2_30min_X01_c01rA_###_###_NOIh,X1,A1,EGFR,1,1,A,1,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4100.5,2208,4579,406.3,94,61.3,5835.8,205.5,248,8398,895,864.8,288.5,1831.3,15105,1311.5,-10
EGFR_HepG2_03hrs_X02_c01rB_###_###_NOIh,X2,B1,EGFR,2,1,B,1,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,3974.5,2772,5702.5,429.8,109.5,60.8,4574.8,244.5,247.5,7625,861.5,812.3,252,1750.8,13656,1122.5,4.5
EGFR_HepG2_30min_X03_c01rC_###_###_PI3k,X3,C1,EGFR,3,1,C,1,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,978,2800,4001,367.3,82.5,73.8,3010.3,236,206,6722,706,677.8,226.5,1394.3,14726,604.5,-31
EGFR_HepG2_03hrs_X04_c01rD_###_###_PI3k,X4,D1,EGFR,4,1,D,1,,,,,,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,557.5,2984,3107,254.8,66.5,49.8,2352.3,174,217,6486,602.5,541.3,196.5,1076.3,13918,570.5,-25
EGFR_HepG2_30min_X05_c02rA_EGF_###_NOIh,X5,A2,EGFR,5,2,A,1,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,18160,12849,9451.5,433.3,190.5,305.8,20257.3,1112,97,11858,2160.5,628.3,194.5,7581.3,23483,805.5,-11.5
EGFR_HepG2_03hrs_X06_c02rB_EGF_###_NOIh,X6,B2,EGFR,6,2,B,1,1,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,3482,9069,7226,1527.8,269.5,459.3,15746.8,684,452,21802.5,1769.5,526.3,300.5,5617.3,22157,890,18
EGFR_HepG2_30min_X07_c02rC_EGF_###_PI3k,X7,C2,EGFR,7,2,C,1,1,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1559.5,12017.5,9166.5,440.8,205.5,346.8,14645.3,797.5,93,7834,2179.5,403.3,215.5,6429.8,24117.5,817.5,-26
EGFR_HepG2_03hrs_X08_c02rD_EGF_###_PI3k,X8,D2,EGFR,8,2,D,1,1,,,,,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,694.5,5518,4328,800.3,104.5,137.3,8276.3,212.5,182,16207.5,1140,555.8,187.5,2629.3,20869.5,353.5,-27
