ANTIBODY,HUGO,MAIN,MCF7,BT549,BT20,UACC812
14-3-3-beta,YWHAB,0,0,1,1,1
14-3-3-epsilon,YWHAE,0,1,1,1,1
14-3-3-zeta,YWHAZ,0,0,1,1,1
4EBP1,EIF4EBP1,0,1,1,1,1
4EBP1_pS65,EIF4EBP1_pS65,1,1,1,1,1
4EBP1_pT37_pT46,EIF4EBP1_pT37_pT46,1,0,1,1,1
53BP1,TP53BP1,0,1,1,1,1
ACC_pS79,ACACA.ACACB_pS79,1,1,1,1,1
ACC1,ACACA.ACACB,0,1,1,1,1
ACVRL1,ACVRL1,0,0,1,1,1
AIB1,NCOA3,0,1,0,1,0
AKT,AKT1.AKT2.AKT3,0,1,1,1,1
AKT_pS473,AKT1.AKT2.AKT3_pS473,1,1,1,1,1
AKT_pT308,AKT1.AKT2.AKT3_pT308,1,1,1,1,1
alpha-catenin,CTNNA1,0,1,1,1,1
AMPK_pT172,PRKAA1.PRKAA2_pT172,1,1,1,1,1
AMPK-alpha,PRKAA1.PRKAA2,0,1,1,1,1
Annexin-I,ANXA1,0,1,1,1,1
Annexin-VII,ANXA7,0,0,1,1,1
AR,AR,0,1,1,1,1
B-Raf,BRAF,0,0,1,1,1
BAD_pS112,BAD_pS112,1,1,1,1,1
BAK,BAK1,0,1,1,1,1
BAX,BAX,0,1,1,1,1
BCL-2,BCL2,0,1,1,1,1
Bcl-X,BCL2L1,0,1,0,1,0
Bcl-xL,BCL2L1,0,1,1,1,1
Beclin,BECN1,0,1,1,1,1
beta-catenin,CTNNB1,0,1,1,1,1
BID,BID,0,1,1,1,1
BIM,BCL2L11,0,1,1,1,1
c-JUN_pS73,JUN_pS73,1,1,0,1,0
c-KIT,KIT,0,1,1,1,1
c-Met,MET,0,1,0,1,0
c-Met_pY1235,MET_pY1235,1,1,1,1,1
c-Myc,MYC,0,1,1,1,1
c-Raf,RAF1,0,1,1,1,1
c-Raf_pS338,RAF1_pS338,1,1,1,1,1
Caspase-3_active,CASP3,0,1,0,1,0
Caspase-7_cleavedD198,CASP7,0,1,1,1,1
Caspase-9_cleavedD330,CASP9,0,1,1,1,1
Caveolin-1,CAV1,0,1,1,1,1
CD31,PECAM1,0,1,1,1,1
CD49B,ITGA2,0,0,1,1,1
CDK1,CDK1,0,1,1,1,1
CHK1,CHEK1,0,1,1,1,1
CHK1_pS345,CHEK1_pS345,1,1,1,1,1
CHK2,CHEK2,0,1,1,1,1
CHK2_pT68,CHEK2_pT68,1,1,1,1,1
cIAP,BIRC2,0,1,1,1,1
