,,,,,QC Score,0.896889765530298,0.942308622400703,0.942481268261950,0.948798475063194,0.960877733181361,0.967739569050308,0.970263861283007,0.969685760071163,0.950806259026464,0.871026221292704,0.953587042176417,0.968249096718497,0.967584666221486,0.935307162045295,0.965121175247225,0.952495356451704,0.962163784609635,0.900928015879960,0.955901406390008,0.955844705132953,0.966459644664546,0.950537117976324,0.969343848408715,0.901468350666102,0.962856423318940,0.925238003195735,0.972121856370878,0.956991659665077,0.968167093726964,0.902411323420329,0.928963761028584,0.953046297106098,0.969254912912768,0.967241041223378,0.927297145052594,0.955009074436523,0.944196358424449,0.871317510535504,0.935581118213379,0.965016644080032,0.932053930859506,0.932651978454045,0.952298042216603,0.919821396411821,0.962070884869843,0.954778292426142,0.914967842231166,0.967062369261682,0.917252340321757,0.965671364229005,0.963405665940246,0.962430291680414,0.959285081523960,0.974088332860081,0.981242236916845,0.963842614239167,0.952154724140509,0.950653606874309,0.961014362699901,0.965589178338088,0.935271786920289,0.949464303635416,0.968499198112413,0.952961318070707,0.878214621444953,0.960783811809901,0.951366154771416,0.972418966949590,0.966052746586858,0.978013536451255,0.944820237965123,0.950298744585647,0.966020192951591,0.927688047571718,0.965518555067079,0.947481731406653,0.910241414208267,0.929053370640284,0.972443383081006,0.903113613156095,0.936342976491320,0.959794703151959,0.964761051994600,0.936380811587534,0.967749288561128,0.961769508506770,0.976188387583392,0.978072605926715,0.970736764028383,0.972285384429637,0.970308843789655,0.852810088492834,0.899220872230916,0.958575065444093,0.974055241301369,0.947678556799976,0.972329130458906,0.951699222690812,0.916042108077014,0.945966040868728,0.942383568296840,0.959597165914161,0.970341875638449,0.922312505316891,0.957770039182752,0.969254680313658,0.945473564953206,0.971847398983490,0.963945080561441,0.962715256301517,0.875850367592540,0.972806464101900,0.973226734880047,0.943215988118185,0.965456743440469,0.962947155024926,0.974050729693420,0.944854411353716,0.926541473510635,0.962584673156198,0.942823794551479,0.962230161533754,0.956064832584480,0.896935501970547,0.976365411062549,0.939889867255834,0.953679430814320,0.951997064460519,0.956414062311977,0.966700040604372,0.953726122765848,0.955638738060234,0.975195655252744,0.957517712363455,0.951340422815558,0.947448736676019,0.956208443806431,0.882984431001922,0.973637709693827,0.951328732613910,0.970083831599248,0.940610201235161,0.961505957427217,0.951495111346749,0.963678094892176,0.957842660399794,0.934791241033769,0.943787012926995,0.963624738095853,0.975905808058657,0.953140348470784,0.936995929519105,0.961637389695159,0.970473614927646,0.937279912215633,0.895257435154089,0.973662390942658,0.978540527688913,0.938361395989726,0.970894975816822
,,,,,Slide ID,14-3-3_beta-R-V_GBL9028430,14-3-3_epsilon-M-C_GBL9028399,14-3-3_zeta-R-V_GBL9028456,4E-BP1-R-V_GBL9023111,4E-BP1_pS65-R-V_GBL9028254,4E-BP1_pT37_T46-R-V_GBL9028407,53BP1-R-E_GBL9028352,ACC_pS79-R-V_GBL9028255,ACC1-R-C_GBL9028256,ACVRL1-R-C_GBL9028441,Akt-R-V_GBL9028468,Akt_pS473-R-V_GBL9028258,Akt_pT308-R-V_GBL9028259,alpha-Catenin-M-V_GBL9028388,AMPK_alpha-R-C_GBL9028260,AMPK_pT172-R-V_GBL9028261,Annexin_I-R-E_GBL9028334,Annexin_VII-M-V_GBL9028447,AR-R-V_GBL9028331,B-Raf-M-C_GBL9028448,Bad_pS112-R-V_GBL9028262,Bak-R-C_GBL9028263,Bax-R-V_GBL9028264,Bcl-2-M-V_GBL9028392,Bcl-xL-R-V_GBL9028267,Beclin-G-C_GBL9028405,beta-Catenin-R-V_GBL9028453,Bid-R-C_GBL9028268,Bim-R-V_GBL9028269,c-Kit-R-V_GBL9028276,c-Met_pY1235-R-V_GBL9028327,c-Myc-R-C_GBL9028432,C-Raf-R-V_GBL9028337,C-Raf_pS338-R-E_GBL9028278,Caspase-7_cleavedD198-R-C_GBL9028271,Caspase-9_cleavedD330-R-E_GBL9028351,Caveolin-1-R-V_GBL9028464,CD31-M-V_GBL9028393,CD49b-M-V_GBL9028446,CDK1-R-V_GBL9028353,Chk1-R-C_GBL9028273,Chk1_pS345-R-E_GBL9028346,Chk2-M-E_GBL9028376,Chk2_pT68-R-C_GBL9028274,cIAP-R-V_GBL9028349,Claudin-7-R-V_GBL9028341,Collagen_VI-R-V_GBL9028473,Cyclin_B1-R-V_GBL9028465,Cyclin_D1-R-V_GBL9028369,Cyclin_E1-M-V_GBL9028394,DJ-1-R-E_GBL9028344,Dvl3-R-V_GBL9028350,E-Cadherin-R-V_GBL9028418,eEF2-R-E_GBL9028356,eEF2K-R-V_GBL9028357,EGFR-R-V_GBL9028365,EGFR_pY1068-R-C_GBL9028281,EGFR_pY1173-R-V_GBL9028282,eIF4E-R-V_GBL9028326,eIF4G-R-C_GBL9028469,ER-alpha-R-V_GBL9028370,ER-alpha_pS118-R-V_GBL9028284,Fibronectin-R-V_GBL9028286,FoxM1-R-V_GBL9028419,FOXO3a-R-C_GBL9028366,Gab2-R-V_GBL9028413,GATA3-M-V_GBL9028398,GSK3-alpha-beta-M-V_GBL9028396,GSK3-alpha-beta_pS21_S9-R-V_GBL9028288,GSK3_pS9-R-V_GBL9028362,HER2-M-V_GBL9028450,HER2_pY1248-R-C_GBL9028437,HER3-R-V_GBL9028375,HER3_pY1298-R-C_GBL9028328,IGFBP2-R-V_GBL9028290,INPP4B-G-E_GBL9028406,IRS1-R-V_GBL9028336,JNK_pT183_pT185-R-V_GBL9028343,JNK2-R-C_GBL9028292,K-Ras-M-E_GBL9028403,Lck-R-V_GBL9028408,MAPK_pT202_Y204-R-V_GBL9028293,MEK1-R-V_GBL9028294,MEK1_pS217_S221-R-V_GBL9028360,MGMT-M-V_GBL9028436,MIG-6-M-V_GBL9028390,MSH2-M-E_GBL9028387,MSH6-R-C_GBL9028358,mTOR-R-V_GBL9028296,mTOR_pS2448-R-E_GBL9028297,MYH11-R-V_GBL9028471,N-Cadherin-R-V_GBL9028298,N-Ras-M-V_GBL9028452,NDRG1_pT346-R-V_GBL9028422,NF-kB-p65_pS536-R-C_GBL9028299,NF2-R-C_GBL9028354,Notch1-R-V_GBL9028359,Notch3-R-C_GBL9028372,p27-R-V_GBL9028345,p27_pT157-R-C_GBL9028340,p27_pT198-R-V_GBL9028342,p38_MAPK-R-C_GBL9028300,p38_pT180_Y182-R-V_GBL9028301,p53-R-E_GBL9028302,p70S6K-R-V_GBL9028303,p70S6K_pT389-R-V_GBL9028304,p90RSK_pT359_S363-R-C_GBL9028332,Paxillin-R-V_GBL9028305,PCNA-M-V_GBL9028397,PDCD4-R-C_GBL9028411,PDK1-R-V_GBL9028409,PDK1_pS241-R-V_GBL9028307,PEA15-R-V_GBL9028414,PEA15_pS116-R-V_GBL9028415,PI3K-p110-alpha-R-C_GBL9028338,PI3K-p85-R-V_GBL9028308,PKC-alpha-M-V_GBL9028378,PKC-alpha_pS657-R-V_GBL9028309,PKC-delta_pS664-R-V_GBL9028412,PKC-pan_betaII_pS660-R-V_GBL9028426,PR-R-V_GBL9028438,PRAS40_pT246-R-V_GBL9028329,PTEN-R-V_GBL9028312,Rab11-R-V_GBL9028363,Rad50-M-E_GBL9028389,Rad51-M-E_GBL9028380,Raptor-R-V_GBL9028423,Rb_pS807_S811-R-V_GBL9028311,RBM15-R-V_GBL9028470,Rictor-R-C_GBL9028424,Rictor_pT1135-R-V_GBL9028425,S6_pS235_S236-R-V_GBL9028314,S6_pS240_S244-R-V_GBL9028315,SCD1-M-V_GBL9028451,SF2-M-E_GBL9028459,Smad1-R-V_GBL9028348,Smad3-R-V_GBL9028335,Smad4-M-V_GBL9028400,Src-M-V_GBL9028383,Src_pY416-R-E_GBL9028316,Src_pY527-R-V_GBL9028317,STAT3_pY705-R-V_GBL9028318,STAT5-alpha-R-V_GBL9028319,Stathmin-R-V_GBL9028325,Syk-M-V_GBL9028401,TAZ-R-V_GBL9028410,TAZ_pS89-R-E_GBL9028373,TIGAR-R-V_GBL9028364,Transglutaminase-M-V_GBL9028449,TRFC-R-V_GBL9028461,TSC1-R-C_GBL9028421,TTF1-R-V_GBL9028361,Tuberin-R-E_GBL9028320,VEGFR2-R-V_GBL9028322,VHL-M-C_GBL9028462,XRCC1-R-E_GBL9028347,YAP-R-V_GBL9028374,YAP_pS127-R-C_GBL9028333,YB-1-R-V_GBL9028440,YB-1_pS102-R-V_GBL9028339
,,,,,Antibody Name,14-3-3-beta,14-3-3-epsilon,14-3-3-zeta,4EBP1,4EBP1_pS65,4EBP1_pT37_pT46,53BP1,ACC_pS79,ACC1,ACVRL1,AKT,AKT_pS473,AKT_pT308,alpha-catenin,AMPK-alpha,AMPK_pT172,Annexin-I,Annexin-VII,AR,B-Raf,BAD_pS112,BAK,BAX,BCL-2,Bcl-xL,Beclin,beta-catenin,BID,BIM,c-KIT,c-Met_pY1235,c-Myc,c-Raf,c-Raf_pS338,Caspase-7_cleavedD198,Caspase-9_cleavedD330,Caveolin-1,CD31,CD49B,CDK1,CHK1,CHK1_pS345,CHK2,CHK2_pT68,cIAP,Claudin-7,Collagen-VI,Cyclin-B1,Cyclin-D1,Cyclin-E1,DJ-1,Dvl3,E-Cadherin,eEF2,eEF2K,EGFR,EGFR_pY1068,EGFR_pY1173,eIF4E,eIF4G,ER-alpha,ER-alpha_pS118,Fibronectin,FoxM1,FOXO3a,Gab2,GATA3,GSK3-alpha-beta,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2,HER2_pY1248,HER3,HER3_pY1298,IGFBP2,INPP4B,IRS1,JNK_pT183_pT185,JNK2,k-Ras,Lck,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MGMT,MIG-6,MSH2,MSH6,mTOR,mTOR_pS2448,MYH11,N-Cadherin,N-Ras,NDRG1_pT346,NF-kB-p65_pS536,NF2,Notch1,Notch3,p27,p27_pT157,p27_pT198,p38_MAPK,p38_pT180_Y182,p53,p70S6K,p70S6K_pT389,p90RSK_pT359_S363,Paxillin,PCNA,PDCD4,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PI3K_p110-alpha,PI3K_p85,PKC-alpha,PKC-alpha_pS657,PKC-delta,PKC-pan-betaII_pS660,PR,PRAS40_pT246,PTEN,Rab11,Rad50,Rad51,Raptor,Rb_pS807_S811,RBM15,Rictor,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,SCD1,SF2,Smad1,Smad3,Smad4,Src,Src_pY416,Src_pY527,STAT3_pY705,STAT5-alpha,Stathmin,Syk,TAZ,TAZ_pS89,TIGAR,Transglutaminase II,TFRC,TSC1,TTF1,Tuberin,VEGFR2,VHL,XRCC1,YAP,YAP_pS127,YB-1,YB-1_PS102
,,,,,HUGO ID,YWHAB,YWHAE,YWHAZ,EIF4EBP1,EIF4EBP1_pS65,EIF4EBP1_pT37_pT46,TP53BP1,ACACA_pS79.ACACB_pS79,ACACA,ACVRL1,AKT1.AKT2.AKT3,AKT1_pS473.AKT2_pS473.AKT3_pS473,AKT1_pT308.AKT2_pT308.AKT3_pT308,CTNNA1,PRKAA1.PRKAA2,PRKAA1_pT172.PRKAA2_pT172,ANXA1,ANXA7,AR,BRAF,BAD_pS112,BAK1,BAX,BCL2,BCL2L1,BECN1,CTNNB1,BID,BCL2L11,KIT,MET_pY1235,MYC,RAF1,RAF1_pS338,CASP7,CASP9,CAV1,PECAM1,ITGA2,CDK1,CHEK1,CHEK1_pS345,CHEK2,CHEK2_pT68,BIRC2,CLDN7,COL6A1,CCNB1,CCND1,CCNE1,PARK7,DVL3,CDH1,EEF2,EEF2K,EGFR,EGFR_pY1068,EGFR_pY1173,EIF4E,EIF4G1,ESR1,ESR1_pS118,FN1,FOXM1,FOXO3,GAB2,GATA3,GSK3A.GSK3B,GSK3A_pS9_pS21.GSK3B_pS9_pS21,GSK3A_pS9.GSK3B_pS9,ERBB2,ERBB2_pY1248,ERBB3,ERBB3_pY1298,IGFBP2,INPP4B,IRS1,MAPK8_pT183_pT185,MAPK9,KRAS,LCK,MAPK1_pT202_Y204.MAPK3_pT202_Y204,MAP2K1,MAP2K1_pS217_S221,MGMT,ERRFI1,MSH2,MSH6,MTOR,MTOR_pS2448,MYH11,CDH2,NRAS,NDRG1_pT346,RELA_p65_pS536,NF2,NOTCH1,NOTCH3,CDKN1B,CDKN1B_pT157,CDKN1B_pT198,MAPK14,MAPK14_pT180_Y182,TP53,RPS6KB1,RPS6KB1_pT389,RPS6KA1_pT359_S363,PXN,PCNA,PDCD4,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PIK3CA,PIK3R1,PRKCA,PRKCA_pS657,PRKCD,PRKCA_pS660.PRKCB_pS660.PRKCD_pS660.PRKCE_pS660.PRKCH_pS660.PRKCQ_pS660,PGR,AKT1S1_pT246,PTEN,RAB11A.RAB11B,RAD50,RAD51,RPTOR,RB1_pS807_S811,RBM15,RICTOR,RICTOR_pT1135,RPS6_pS235_S236,RPS6_pS240_S244,SCD,SRSF1,SMAD1,SMAD3,SMAD4,SRC,SRC_pY416,SRC_pY527,STAT3_pY705,STAT5A,STMN1,SYK,WWTR1,WWTR1_pS89,C12orf5,TGM2,TFRC,TSC1,TTF1,TSC2,KDR,VHL,XRCC1,YAP1,YAP1_pS127,YBX1,YBX1_PS102
,,,,,Phospho (In Main),0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Cell Line,Inhibitor,Stimulus,Timepoint,CF,In Main
BT549,GSK690693,,0min,1.090194073868570,1.0,0.547835098373981,0.839216107020760,10.021231569835500,1.941099115084600,8.275718788742820,10.183189880890600,2.391073926995430,0.526329778975941,7.241101707464420,0.405078291479601,6.342634732462260,12.468552876090801,6.005993247348240,0.579960303562403,0.958890810320626,1.236641269803960,9.665776130650301,0.447230300985146,1.008839264222890,2.168832057394500,1.331954468174730,0.934422434182313,2.281526669243150,0.254442175657829,1.153357586452860,0.674542450314459,6.675486405811150,1.161558617457910,0.767481456766150,0.470350680863507,0.886555767576353,2.469570022830630,1.752220155394730,1.748542920927040,0.081971078212863,1.768209243121290,12.243808944376200,0.171052022768241,0.184442277923212,1.944484214441740,1.133107941442890,1.317444859004280,0.959315612660019,1.183172781204240,2.016903143345550,0.269610500422291,1.541806222708630,7.137224143600320,0.588244727604159,1.355879773642810,2.104042544655820,1.748632095924010,0.113337132091080,2.682766977273280,2.895359282115420,0.935025202544576,0.289588046715772,1.327790330608350,3.810699015806580,6.834211229773440,0.022677371126864,1.065065559792370,5.353347006439820,1.423096399080410,0.302698037510058,0.202311483921034,0.261896363156384,2.234738005652940,3.540835930075220,1.839935493858650,0.446277685216452,0.611070051651793,0.265356297350953,0.732074991719635,0.176974991695711,0.106394715726853,0.209887312949671,0.951282986924389,0.969726042459740,0.719521722933192,0.100779263818829,0.343432527750478,1.326102415583920,0.128702926786373,1.632960594123560,1.846664203021110,1.044556555055860,1.911712791890970,2.821511241987980,1.093578143144610,2.371578233656010,0.714693342186864,0.626932306242997,0.362334394998209,1.206782506819680,16.324995589028500,1.490486759924190,1.920081844438130,0.394411726969746,1.095409297621600,0.771472031296800,0.560812310561700,1.196302447556280,1.194115991495200,0.894835237301475,0.945589701271039,1.114967083412670,3.213436580106780,2.123133008290280,0.957659399831519,0.169740472404228,1.015033391072790,1.089788843539370,1.653641186459080,0.859603567814480,1.428349565444750,1.631234476929420,3.234962135385980,0.445456263817293,1.465949641681420,0.123567716764272,9.048792610874401,0.071493119998738,0.235141129656531,1.288144721720670,1.144141977842220,1.632558281134150,0.883804408084537,12.227621490210000,1.457280981975120,2.392625449749260,5.702351386652010,1.649168594297320,1.003147206195570,0.979926790502707,1.763588645797650,1.846515150582270,0.692147929757444,0.632441236595209,0.647252744606777,1.530000818642370,0.867279883516020,0.533400418471293,0.967478021673000,0.088645436380944,1.905460440970110,0.847623774002355,1.125430030936290,0.611859881608921,2.546095161846540,2.867860135113870,1.420419857821580,3.206420318670980,0.797343651754476,0.029382248074631,0.462648290071546,2.991857594361620,4.739000341214930,1.752343547943230,1.776327719373120
BT549,GSK690693,,0min,1.028493584173510,1.0,0.577557215086119,0.857282826924337,6.004574822076090,1.950329526911730,5.026018695757600,5.641820968680900,2.491344771670930,0.541884261343581,6.422598743115320,0.436561895136154,5.206751507811750,6.932070177113370,4.884791999499950,0.578993420368547,1.020591312083500,1.251568508642490,6.014047563125310,0.451080791177325,1.016740161604640,2.294271004380320,1.249628259691810,0.966569522278860,2.229629453522780,0.263355387760360,1.017572290853440,0.704304793938835,5.614808963892280,1.043796286741950,0.716185903945228,0.503660327465757,0.911715646433654,2.459916311675630,1.866061288805910,1.876111224205420,0.082650507121232,1.403678192223960,7.686643477162830,0.214363626568507,0.194628166128325,1.947262853118060,1.112727047109250,1.305864543457600,0.891811906236674,1.168777377176520,2.328793879255200,0.238333522235630,1.536563997173920,6.023221235733750,0.583419094185888,1.447508967338030,2.062032732034430,1.786051854351360,0.075135668664362,2.764607988077610,2.924924125614750,0.941558522771390,0.271297501196867,1.373489440366560,3.688809025534670,5.208904578646250,0.024369055712961,1.073609526894340,4.912779709814520,1.419447243744470,0.263019912791178,0.197262614959061,0.259401269777509,2.423240675224240,3.704491672886010,1.967143618607640,0.396068334957288,0.590411555348054,0.241457795125742,0.804562176517890,0.174726024588719,0.105496558165336,0.209580229247277,0.959896182465813,0.914036322233383,0.787000261250077,0.099216679802099,0.366126800446382,1.275173326186090,0.138057159798782,1.534928190588170,1.888054424181960,1.074592616715310,1.905099923415160,2.821841962146290,1.087172021491690,2.300066653827430,0.698866348637596,0.647076543104412,0.341179949725917,1.223174546685550,7.348406662637100,1.554088300874820,1.619821050920040,0.404218460528351,1.047338265379890,0.763797302413366,0.556311471287242,1.295969439139190,1.133425721417350,0.848259569553954,1.026478997919480,1.133104652863860,3.077327146433470,2.075648396535720,0.964189122890304,0.183541644572556,1.037216001006130,1.045629207668270,1.370631426934570,0.856993891823400,1.687143763683560,1.683530520417730,3.364259997902850,0.440478169197864,1.618433802951400,0.114654646961707,5.539120688183940,0.064501959446831,0.225052716150353,1.243944967621310,1.168051783339230,1.667602392119490,0.838921858362805,7.562797146920970,1.530922324619420,2.434532791330460,5.611410960664060,1.885786060465190,0.867446532361196,1.048628796685020,1.634074596346160,1.827346072083470,0.656649593040257,0.660394189013874,0.603586395480784,1.576416045139100,0.851555466501742,0.542398305601554,0.930154100780654,0.098305372288319,1.806447619952380,0.715040286373739,1.032037478137000,0.613492450979782,2.550580066447190,3.056072111396150,1.264187417403450,3.209886607890910,0.808320347604725,0.026957664849431,0.460513667887462,2.836765303334380,3.932742844001700,1.862941891530050,1.716131031301190
BT549,DMSO,,0min,1.167116004108670,1.0,0.548200211875688,0.850229777235279,7.621717016164300,1.633117995589530,6.764711181670940,9.965316561184441,2.264095401523820,0.450302109363824,6.243706760564300,0.451378448640719,5.413256935252070,5.452876194072060,2.589593585145560,0.575713250237102,0.947819036921902,1.112290507650060,8.463991777196551,0.467757618992193,0.996614458856856,2.133598244350930,1.302593885693030,0.967536718141140,2.002868273644980,0.246906681879932,1.097994986445110,0.648395114147954,6.415588164264220,1.034336788099500,0.707318545643533,0.459123310714784,0.928674535740210,2.414149036232030,1.682850766805470,1.654182204441100,0.085248915838863,1.548183790146420,12.721065165164701,0.177021042380205,0.201169947323020,1.688648604322540,1.235887901653890,1.198124761632310,0.920362572942228,1.122688442643590,1.978773739883000,0.246521665270703,1.261673441927670,5.730119788277650,0.623238683343294,1.382481130149560,1.929708163077540,1.593215286158880,0.087464738650947,2.789003028343940,2.672373901966620,0.902907654581328,0.263792739982660,1.166360950811240,3.151372435173290,6.306406658395060,0.023336849804881,1.050892070281870,4.724728043577430,1.355478256564950,0.301526709453956,0.186469688744045,0.256337938984641,2.125400857482940,5.000117825945860,2.507701543922300,0.412093744725966,0.586308088081857,0.232560662875618,0.692220612484683,0.181225148700345,0.111500191329947,0.201118003703330,0.868346733807025,0.927624898942186,0.682539302009084,0.103214174408227,0.387118001858125,1.251017794758410,0.132680273465042,1.524879487586810,1.753867584759790,1.043262331007050,1.926955084098400,2.558167396892940,1.123312395387730,2.184407264629730,0.677498016048232,0.620224306796331,0.342027961379401,1.275437950239410,12.003441188418901,1.450006286311520,1.618250360055250,0.381735400939827,0.992854695696527,0.789368422074319,0.528309302348438,1.253684457512230,1.187853002528160,0.913785292751866,1.245515396701560,1.045147695557890,2.847347264387760,1.939553327418540,0.910062508609914,0.174009112346315,1.008768048482660,1.056570642884610,1.547754203938820,0.832707484832850,1.385287788316940,1.559631310275820,3.205101856909340,0.448740731688921,1.484560634266910,0.120411296375227,9.605433431168660,0.066294069931347,0.224547856083175,1.212353012902900,1.091112345977250,1.649991202048710,0.792192994752120,10.970646923877700,1.324345004451780,2.577517777091780,8.890036521563451,2.154624019417050,0.846941883749413,0.972568907917378,1.494186663137810,1.679937458724190,0.725572415804888,0.639486831828654,0.606486392599199,1.467476980616910,0.874474400906279,0.519625616949054,0.849521283677693,0.093684661132680,1.729080132585350,0.946128328100990,1.075790500597800,0.591546558659518,2.483076634797350,2.688201932939760,1.312458956186250,2.837006678604660,0.759073379646692,0.026223292613356,0.456388243272675,2.784346485117880,4.489906163803240,1.695834731205910,1.752020461355730
BT549,DMSO,,0min,1.181407519444820,1.0,0.632382444736546,0.944344352562557,7.293164542638030,1.668315447456950,4.939681374883390,5.429551176810330,2.244411544073680,0.481536185981626,6.012627547150800,0.457394414181155,4.622783126235440,4.746921879493810,2.781370497713860,0.573544627739054,0.983930412699161,1.209144335585690,5.317994596868800,0.495915335118548,1.021998473498540,2.263266539566330,1.233437671235770,1.080777577041870,1.919941138344900,0.253012020478874,1.069208140942980,0.677244765299139,5.337354000584100,1.070187020217240,0.738732159959722,0.506024236675804,1.042214488892540,2.600370643752430,1.974316458378460,1.926958144822600,0.103536432019391,1.279436627679870,5.899929271054760,0.230435589507759,0.213451215979751,1.790291600968630,1.396997717324470,1.155169857206320,1.038465153612400,1.157811100369880,2.207121453449270,0.250595782296809,1.321147060081380,5.191909562681370,0.631946224010976,1.462709766169650,2.020406755039900,1.457902210466170,0.084999700047321,2.588492019729470,2.725465188649220,0.915030086381305,0.263601890351849,1.208544838121350,3.241106217471350,4.937797773484000,0.026547297301664,1.077485733526110,4.373060195634080,1.522353628583030,0.237846619794431,0.184689752192808,0.282425676554389,2.504100107038130,4.740880601440360,2.684574640528780,0.378046639503570,0.544996494502240,0.236738707811578,0.739469932002234,0.173768046750565,0.105142420163362,0.198373970136546,0.941833252341680,0.939642793360902,0.749971823412163,0.130736456091465,0.377642656042544,1.275965722758590,0.136245302325270,1.504978815555640,1.706682092563370,1.155921501098470,2.047188541398310,3.088834050567400,1.362122503848390,2.235037146635780,0.678414159458787,0.797482322917650,0.326134322373831,1.277997733238430,6.128041750464360,1.531852853158400,1.699304782467680,0.405703257476702,1.314786148350890,0.796596842523143,0.530911741215108,1.299099284956920,1.086537368844380,1.000872621956670,1.246560571518970,1.057815991390960,2.909163245402880,1.963517411824980,0.986440136263622,0.182315938565014,1.051573293190920,1.053732212068520,1.215634942219080,0.833011417247415,1.484151748690200,1.723292994247450,3.400080715689480,0.490296301652981,1.586732397840330,0.112975864627472,5.645052273140020,0.062718950964653,0.250266405565051,1.269718705345800,1.117404844650030,1.877152931757450,0.787433020518114,6.416995401651100,1.550434077201810,2.833853374971640,6.381593835461380,2.209634516978160,1.083248440328380,1.115711959540950,1.635854890032820,1.629182125871890,0.767647232271182,0.724363691913066,0.631592357556723,1.591051749307380,0.868675994194912,0.524429657231796,0.919333343703808,0.117851143359857,1.721028948532610,1.154600472138940,1.094709291893450,0.620607930795188,2.589599574133910,2.799064188590280,1.253167016485270,3.222652607321970,0.663677503446300,0.027243142031160,0.457764410269736,2.629689390134700,3.998589315578000,1.595346152103850,1.731211224768730
