,,,,,QC Score,0.856632364411030,0.931820354101423,0.951447287452481,0.859657436316824,0.932221953315956,0.950222698113631,0.963901769018131,0.966670950133734,0.962001712569017,0.963260174105601,0.859842560683177,0.957422275125958,0.960030539113007,0.821124928699908,0.904376763315109,0.945113401341982,0.904601220548524,0.886127435975432,0.866652376208298,0.900806873267065,0.868657861155578,0.829886242878682,0.951859060564601,0.801659051208531,0.857786159399090,0.935397931784804,0.867542311157976,0.834188753751839,0.868520557747407,0.865480314917883,0.866695788696588,0.833792545838736,0.848053738942995,0.889182223670959,0.921998541169696,0.914800659663207,0.876426002028193,0.955015272778025,0.846062149879226,0.899874040101156,0.868036848352025,0.876586739239361,0.959280881531438,0.915709900890911,0.947633953735383,0.858240329797838,0.892181918465166,0.894260856764351,0.897808766786838,0.892318572641229,0.877166065162624,0.860861944162435,0.960406056245087,0.927883846594020,0.890292786554802,0.881280098009334,0.900178417484328,0.843379779731557,0.958514124881768,0.935191945942421,0.917889268555629,0.839714080318844,0.924110998754884,0.842180958683755,0.899763597580013,0.888795558324434,0.896642208955327,0.890453593404123,0.966100232533118,0.937285316390854,0.946079013581237,0.901162632379319,0.857956206422564,0.969748478666504,0.952011523914714,0.940643824747673,0.912318489728397,0.891616450063526,0.893143021265544,0.855628557875640,0.900938802869236,0.847272716807233,0.886265512981124,0.942316071543150,0.883666699349357,0.854525333996573,0.831520471864286,0.904088564838595,0.894517807350629,0.889917496240270,0.855883458961331,0.889119478345735,0.869943353601225,0.924799564222537,0.881663718259714,0.871748206779444,0.894948279812268,0.861962816452095,0.852887197129395,0.971405353435439,0.863704807595906,0.801417073075928,0.894297125547625,0.948085638959814,0.915464234501327,0.845550064569174,0.948885243495440,0.889430344417698,0.930262454639221,0.879808200491956,0.911824979388979,0.887176264265907,0.834519087078694,0.947622555050351,0.892688887085422,0.854870199172056,0.970178599618744,0.888795757295281,0.814396181788687,0.862873770734687,0.823387474437836,0.930073780238025,0.917269330451166,0.878418755858049,0.919964923194011,0.921275379257780,0.879272626289758,0.909018565475725,0.890240824606055,0.811844348708682,0.831756486445665,0.830020088958835,0.826423724184972,0.853889001925633,0.887577873307323,0.827814748012580,0.822960610215663,0.869936295626609,0.942815803802608,0.901121238446978,0.841550000178633,0.938694305825722,0.925995401864615,0.836456842053954,0.909040973160888,0.895765047237451,0.907271762706334,0.841818467991810,0.871008090145575,0.954982250070945
,,,,,Slide ID,14-3-3_epsilon-M-C_GBL9022960,4E-BP1-R-V_GBL9020007,4E-BP1_pS65-R-V_GBL9022775,53BP1-R-C_GBL9022902,ACC_pS79-R-V_GBL9022776,ACC1-R-C_GBL9022777,AIB1-M-V_GBL9022950,Akt-R-V_GBL9022778,Akt_pS473-R-V_GBL9022779,Akt_pT308-R-V_GBL9022780,alpha-Catenin-M-V_GBL9022988,AMPK_alpha-R-C_GBL9022781,AMPK_pT172-R-V_GBL9022782,Annexin_I-R-V_GBL9022884,AR-R-V_GBL9022881,Bad_pS112-R-V_GBL9022783,Bak-R-C_GBL9022784,Bax-R-V_GBL9022970,Bcl-2-M-V_GBL9022927,Bcl-X-R-C_GBL9022816,Bcl-xL-R-V_GBL9022817,Beclin-G-V_GBL9022965,beta-Catenin-R-V_GBL9022815,Bid-R-C_GBL9022989,Bim-R-V_GBL9022819,c-Jun_pS73-R-C_GBL9022975,c-Kit-R-V_GBL9022915,c-Met-M-C_GBL9022951,c-Met_pY1235-R-C_GBL9022877,c-Myc-R-C_GBL9022826,C-Raf-R-V_GBL9022917,C-Raf_pS338-R-C_GBL9022996,Caspase-3_active-R-C_GBL9022820,Caspase-7_cleavedD198-R-C_GBL9022821,Caspase-9_cleavedD330-R-C_GBL9022901,Caveolin-1-R-V_GBL9022973,CD31-M-V_GBL9022928,CDK1-R-V_GBL9022903,Chk1-R-C_GBL9022995,Chk1_pS345-R-C_GBL9023010,Chk2-M-C_GBL9022929,Chk2_pT68-R-C_GBL9022974,cIAP-R-V_GBL9022899,Claudin-7-R-V_GBL9022890,Collagen_VI-R-V_GBL9022918,COX-2-R-C_GBL9022880,Cyclin_B1-R-V_GBL9022828,Cyclin_D1-R-V_GBL9022919,Cyclin_E1-M-V_GBL9022958,DJ-1-R-C_GBL9022894,Dvl3-R-V_GBL9022900,E-Cadherin-R-V_GBL9022829,eEF2-R-V_GBL9022912,eEF2K-R-V_GBL9022913,EGFR-R-C_GBL9022920,EGFR_pY1068-R-V_GBL9022830,EGFR_pY1173-R-C_GBL9022916,EGFR_pY992-R-V_GBL9022831,eIF4E-R-V_GBL9022876,ER-alpha-R-V_GBL9022832,ER-alpha_pS118-R-V_GBL9022833,ERCC1-M-C_GBL9022930,FAK-R-C_GBL9022834,Fibronectin-R-C_GBL9022976,FOXO3a-R-C_GBL9022836,FOXO3a_pS318_S321-R-C_GBL9022837,GATA3-M-V_GBL9022952,GSK3-alpha-beta-M-V_GBL9022959,GSK3-alpha-beta_pS21_S9-R-V_GBL9022838,GSK3_pS9-R-V_GBL9022909,HER2-M-V_GBL9022956,HER2_pY1248-R-V_GBL9022977,HER3-R-V_GBL9022925,IGF-1R-beta-R-C_GBL9022841,IGFBP2-R-V_GBL9022840,INPP4B-G-C_GBL9022966,IRS1-R-V_GBL9022886,JNK_pT183_pT185-R-V_GBL9022892,JNK2-R-C_GBL9022998,K-Ras-M-C_GBL9023007,MAPK_pT202_Y204-R-V_GBL9022843,MEK1-R-V_GBL9022844,MEK1_pS217_S221-R-V_GBL9022907,MIG-6-M-V_GBL9022957,Mre11-R-C_GBL9022845,MSH2-M-C_GBL9022953,MSH6-R-C_GBL9022905,mTOR-R-V_GBL9022846,mTOR_pS2448-R-C_GBL9022847,N-Cadherin-R-V_GBL9022999,NF-kB-p65_pS536-R-C_GBL9022849,NF2-R-C_GBL9022904,Notch1-R-V_GBL9022906,Notch3-R-C_GBL9022922,P-Cadherin-R-C_GBL9022856,p21-R-C_GBL9022921,p27-R-V_GBL9023003,p27_pT157-R-C_GBL9022889,p27_pT198-R-V_GBL9022891,p38_MAPK-R-C_GBL9022850,p38_pT180_Y182-R-V_GBL9022851,p53-R-V_GBL9022852,p70S6K-R-V_GBL9022853,p70S6K_pT389-R-V_GBL9022854,p90RSK_pT359_S363-R-C_GBL9022882,PARP_cleaved-M-C_GBL9022931,Paxillin-R-V_GBL9022855,PCNA-M-V_GBL9022932,PDK1_pS241-R-V_GBL9022857,PI3K-p110-alpha-R-C_GBL9022887,PI3K-p85-R-V_GBL9022858,PKC-alpha-M-V_GBL9022933,PKC-alpha_pS657-R-V_GBL9022859,PR-R-V_GBL9022860,PRAS40_pT246-R-V_GBL9022879,PTCH-R-C_GBL9022911,PTEN-R-V_GBL9022862,Rab11-R-V_GBL9023006,Rab25-R-C_GBL9022863,Rad50-M-C_GBL9022955,Rad51-M-C_GBL9022994,Rb-M-V_GBL9022997,Rb_pS807_S811-R-V_GBL9022861,S6_pS235_S236-R-V_GBL9023000,S6_pS240_S244-R-V_GBL9022865,Smac-M-V_GBL9022946,Smad1-R-V_GBL9022978,Smad3-R-V_GBL9022885,Smad4-M-V_GBL9022961,Snail-M-C_GBL9022986,Src-M-V_GBL9022983,Src_pY416-R-C_GBL9023008,Src_pY527-R-V_GBL9022867,STAT3_pY705-R-V_GBL9022868,STAT5-alpha-R-V_GBL9022869,Stathmin-R-V_GBL9022875,Syk-M-V_GBL9022962,Tau-M-C_GBL9022949,TAZ_pS89-R-C_GBL9022980,TIGAR-R-V_GBL9022910,TTF1-R-V_GBL9022908,Tuberin-R-C_GBL9022870,VASP-R-C_GBL9022871,VEGFR2-R-V_GBL9022992,XIAP-R-C_GBL9022873,XRCC1-R-C_GBL9023005,YAP-R-V_GBL9022924,YAP_pS127-R-C_GBL9022883,YB-1-R-V_GBL9022874,YB-1_pS102-R-V_GBL9022888
,,,,,Antibody Name,14-3-3-epsilon,4EBP1,4EBP1_pS65,53BP1,ACC_pS79,ACC1,AIB1,AKT,AKT_pS473,AKT_pT308,alpha-catenin,AMPK-alpha,AMPK_pT172,Annexin-I,AR,BAD_pS112,BAK,BAX,BCL-2,Bcl-X,Bcl-xL,Beclin,beta-catenin,BID,BIM,c-JUN_pS73,c-KIT,c-Met,c-Met_pY1235,c-Myc,c-Raf,c-Raf_pS338,Caspase-3_active,Caspase-7_cleavedD198,Caspase-9_cleavedD330,Caveolin-1,CD31,CDK1,CHK1,CHK1_pS345,CHK2,CHK2_pT68,cIAP,Claudin-7,Collagen-VI,COX-2,Cyclin-B1,Cyclin-D1,Cyclin-E1,DJ-1,Dvl3,E-Cadherin,eEF2,eEF2K,EGFR,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,eIF4E,ER-alpha,ER-alpha_pS118,ERCC1,FAK,Fibronectin,FOXO3a,FOXO3a_pS318_S321,GATA3,GSK3-alpha-beta,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2,HER2_pY1248,HER3,IFG-1R-beta,IGFBP2,INPP4B,IRS1,JNK_pT183_pT185,JNK2,k-Ras,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MIG-6,Mre11,MSH2,MSH6,mTOR,mTOR_pS2448,N-Cadherin,NF-kB-p65_pS536,NF2,Notch1,Notch3,P-Cadherin,p21,p27,p27_pT157,p27_pT198,p38_MAPK,p38_pT180_Y182,p53,p70S6K,p70S6K_pT389,p90RSK_pT359_S363,PARP_cleaved,Paxillin,PCNA,PDK1_pS241,PI3K_p110-alpha,PI3K_p85,PKC-alpha,PKC-alpha_pS657,PR,PRAS40_pT246,PTCH,PTEN,Rab11,Rab25,Rad50,Rad51,Rb,Rb_pS807_S811,S6_pS235_S236,S6_pS240_S244,Smac,Smad1,Smad3,Smad4,Snail,Src,Src_pY416,Src_pY527,STAT3_pY705,STAT5-alpha,Stathmin,Syk,Tau,TAZ_pS89,TIGAR,TTF1,Tuberin,VASP,VEGFR2,XIAP,XRCC1,YAP,YAP_pS127,YB-1,YB-1_PS102
,,,,,HUGO ID,YWHAE,EIF4EBP1,EIF4EBP1_pS65,TP53BP1,ACACA_pS79.ACACB_pS79,ACACA,NCOA3,AKT1.AKT2.AKT3,AKT1_pS473.AKT2_pS473.AKT3_pS473,AKT1_pT308.AKT2_pT308.AKT3_pT308,CTNNA1,PRKAA1.PRKAA2,PRKAA1_pT172.PRKAA2_pT172,ANXA1,AR,BAD_pS112,BAK1,BAX,BCL2,BCL2L1,BCL2L1,BECN1,CTNNB1,BID,BCL2L11,JUN_pS73,KIT,MET,MET_pY1235,MYC,RAF1,RAF1_pS338,CASP3,CASP7,CASP9,CAV1,PECAM1,CDK1,CHEK1,CHEK1_pS345,CHEK2,CHEK2_pT68,BIRC2,CLDN7,COL6A1,PTGS2,CCNB1,CCND1,CCNE1,PARK7,DVL3,CDH1,EEF2,EEF2K,EGFR,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,EIF4E,ESR1,ESR1_pS118,ERCC1,PTK2,FN1,FOXO3,FOXO3_pS318_pS321,GATA3,GSK3A.GSK3B,GSK3A_pS9_pS21.GSK3B_pS9_pS21,GSK3A_pS9.GSK3B_pS9,ERBB2,ERBB2_pY1248,ERBB3,IGF1R,IGFBP2,INPP4B,IRS1,MAPK8_pT183_pT185,MAPK9,KRAS,MAPK1_pT202_Y204.MAPK3_pT202_Y204,MAP2K1,MAP2K1_pS217_S221,ERRFI1,MRE11A,MSH2,MSH6,MTOR,MTOR_pS2448,CDH2,RELA_p65_pS536,NF2,NOTCH1,NOTCH3,CDH3,CDKN1A,CDKN1B,CDKN1B_pT157,CDKN1B_pT198,MAPK14,MAPK14_pT180_Y182,TP53,RPS6KB1,RPS6KB1_pT389,RPS6KA1_pT359_S363,PARP1,PXN,PCNA,PDK1_pS241,PIK3CA,PIK3R1,PRKCA,PRKCA_pS657,PGR,AKT1S1_pT246,PTCH1,PTEN,RAB11A.RAB11B,RAB25,RAD50,RAD51,RB1,RB1_pS807_S811,RPS6_pS235_S236,RPS6_pS240_S244,DIABLO,SMAD1,SMAD3,SMAD4,SNAI1,SRC,SRC_pY416,SRC_pY527,STAT3_pY705,STAT5A,STMN1,SYK,MAPT,WWTR1_pS89,C12orf5,TTF1,TSC2,VASP,KDR,XIAP,XRCC1,YAP1,YAP1_pS127,YBX1,YBX1_PS102
,,,,,Phospho (In Main),0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Cell Line,Inhibitor,Stimulus,Timepoint,CF,In Main
MCF7,PD173074,,0min,0.743878693982072,1.0,0.163352588482066,0.242235211217832,0.690697003576263,1.180262938972330,0.213262549352621,2.169166811128210,1.304968148395400,4.337696469785160,0.066628648757880,0.210508707148354,0.215561777301749,0.771931667054580,2.095481366844830,0.059219151796732,0.627399553244885,0.584281807658397,0.202696862648406,1.021516276012880,0.758476411657810,0.276452988948952,0.315760007995719,0.324891358877616,3.083282197054210,1.021642313711800,0.781663734379360,0.373011321135675,0.068919024661595,0.244550901654709,0.478128543851601,1.049479587261220,0.979419243954118,0.323169566221720,0.164202866650252,0.029844270420083,0.300868160904160,0.105287302208544,0.069101620986419,0.737442265485311,0.373797066704632,0.265692428920539,0.410063351246961,0.221848819585108,0.266271726078411,1.990305133247580,3.946138600934850,1.391156172225150,1.627871476908300,0.692461522817166,0.645047506826603,0.659915177480247,0.391049146524300,1.165259396790570,1.891502301748780,1.826591738177710,0.068404956963676,0.088533185741316,0.458375517548921,0.123778814951389,1.130883582175520,1.366380846522900,0.859289961389965,0.679872889817645,0.457796381576994,0.032707956636155,0.238374927685533,0.470589186860171,5.084642295174500,1.787687328239370,1.146339599267080,1.326483590891440,0.729898729553998,1.679040203415610,2.332457595708820,2.537230385670130,0.520395531431818,1.316705105429310,1.360757711554910,0.208562672388649,1.568383694214460,0.246621889618757,0.200793227365553,0.651640236003698,0.187635265138442,0.512811230406621,0.491667075022198,0.245848320394285,1.343876084585100,1.432748431622030,0.651896816018829,0.248962918010040,0.575799516263653,3.999961976866870,0.357175603451206,0.909953097327870,1.496302224975920,0.678904721580421,1.470648314506860,0.667591743834837,0.441058211668369,0.753591413526537,0.177736142969845,0.217234694779977,13.125480690242400,1.495779448839410,0.620937894468512,0.138498555539950,1.762629595416090,0.400896529645489,1.052871140025520,0.380428370362058,1.120946986749810,0.131833910389444,0.215766915340491,0.229423245362748,1.076768936767970,0.542796858447451,1.260499425789570,0.270083601986307,0.374847989659771,0.642947324879120,1.022946945100000,0.282305384469936,2.143511759583100,2.648006864318220,1.198232206163560,0.930082355152178,0.557044604141921,1.084605146390110,0.109779943877159,0.464831206620392,0.417246421633237,0.086427037897156,1.244167385339890,0.200970600413957,0.267327085956015,0.323120104307673,0.720474814803800,1.691706703989260,0.727639532219787,0.615545186760692,0.151712888550483,1.473236212920340,0.843422686456857,1.109025676797840,1.017174574705960,0.189358284604060,1.623600644670890,0.401098463024098,0.489917369543423,0.544543864203729
MCF7,PD173074,,0min,0.688798160373360,1.0,0.194482282458176,0.247450228111710,0.719781852190640,1.320648229173240,0.148943074593519,1.538310649339740,1.512282035346420,3.845790253342760,0.057719349554623,0.227801756964925,0.357367364387052,0.745237636015873,2.170946089366770,0.058236076538401,0.631452348329620,0.577245621173156,0.219403905725750,1.179174372570110,0.826769562609917,0.289029701186136,0.302000525336558,0.334560076088998,2.862494172714780,1.088131339621200,0.920586582908390,0.411754632750537,0.058897227831653,0.248877914903553,0.462113965322637,1.114142013913080,0.793449193742002,0.274976583221693,0.157445777439699,0.030577342216235,0.320007798619576,0.093093560526142,0.074727460951723,0.827766752901426,0.344879273884053,0.250664420793416,0.392204601296735,0.220459053106751,0.264206191418115,1.918859495781080,4.209018571361030,0.985191091290975,1.917190998300210,0.667564798269645,0.667453610203580,0.749783492013398,0.425922096928053,1.459021409424080,1.385660873140920,1.903267598724040,0.051368626029224,0.082807921549607,0.443752172670742,0.123543401099065,1.330813424277760,1.221512737221450,0.743169736468400,0.638814149890203,0.356183742986833,0.036572924341947,0.228613374590905,0.480824714614373,6.317962645437210,1.921460479281880,1.127550554590390,1.244915376734080,0.699362431031997,1.392821422889960,2.435007159642870,3.002863657996130,0.543843448888956,1.422471474002910,1.375186274078650,0.192496161145805,1.427678916528390,0.250169175642179,0.211190344372391,0.764801552631830,0.203638992941276,0.446026649598509,0.483062344981442,0.234839070430366,1.048273372588960,0.927684598650428,0.409653287369325,0.206836902103384,0.528529854966210,3.984906329798140,0.388266820159140,1.042463109159250,1.883357803017780,0.762396697638796,1.569504558659800,0.619195244805996,0.448606611605261,0.814239815854020,0.172803020970650,0.240444414868782,14.051299418634400,1.910480183340650,0.614932132142600,0.147890467989249,1.964352998340800,0.429349064450589,1.213241998421150,0.369670082142187,1.300391736390790,0.114296219965413,0.190837862194157,0.214449960338261,1.183166786537330,0.427866885317435,1.127278233886440,0.274060957786250,0.334006636901183,0.650344611431443,1.006395580774080,0.239976007491321,1.933360268879870,2.947065987870370,0.972551386941451,1.007398516272670,0.551364662720216,0.926615627709161,0.109960491624581,0.443462825643297,0.423632617076834,0.089961718093316,1.155582588975060,0.189264414128896,0.224929092608134,0.325425644960263,0.602471760620781,1.907984312171270,0.554950978608270,0.632057259857137,0.168229833684239,1.115313669656930,0.911776005331508,1.195857944279070,0.990621686933327,0.209099181429583,1.998608210026910,0.382795913392459,0.514006093001424,0.625462149642113
MCF7,GSK690693_GSK1120212,,0min,0.716133222828058,1.0,0.180327362586020,0.219503716019559,0.702752236329879,1.154573757628580,0.170486184348180,2.466029292454170,1.323857902750230,4.286285436993660,0.452023038969334,0.566700297030439,0.290532645993900,0.777504453867832,1.946377007180880,0.061573475418226,0.653709534619352,0.565483057305650,0.209454210023232,1.071006119776210,0.744975925578502,0.280768513982589,0.293787748207169,0.328276330656244,3.266913770698480,1.032841652293750,0.801529729121508,0.377117511201476,0.052998513460104,0.220012519046123,0.457940486297342,1.010633963814770,0.974358794813120,0.330321604786138,0.172114851756865,0.028483981455337,0.314244653393768,0.103113982627922,0.072008647483707,0.727083271915669,0.339414105130304,0.283937696090252,0.426755593142829,0.218956756030507,0.287384962755145,2.105984348967920,4.236599821267330,1.381537760481820,1.796310579754420,0.662272690127273,0.682834497490718,0.660441248333502,0.403548402126214,1.202909016587230,1.739003633136870,1.794525280961110,0.056401391350385,0.086377516817081,0.436303393743837,0.120880264183260,1.062840385238810,1.296508694205980,0.894784275014646,0.643278473987612,0.423764774833132,0.036939249406092,0.225611429178416,0.456932309209373,5.307753659609920,1.926386004359650,1.147382375616540,1.326216679589460,0.639477296020575,1.646874000005700,2.622450693099130,2.680326987853890,0.562819666636530,1.498878887987440,1.363344928691050,0.209069564370594,1.547951174547470,0.244748858747015,0.058202421745741,0.672498797800256,0.120494124561335,0.480008386640132,0.516678540098344,0.263994296060695,1.464268180023420,1.439002880263610,0.621844805220122,0.216535417308667,0.584299298667598,4.082541461902320,0.345990802625476,0.877345213292774,1.623463985640550,0.691918041764875,1.303460434546940,0.646213635480546,0.439798500595314,0.691943157488351,0.173684921026764,0.226781414061512,12.123534868366800,1.840061053272830,0.594644196139649,0.136723457857223,1.604159871450260,0.407413574150182,1.083058049105330,0.396261739500253,1.088143910885810,0.139562604628688,0.217799748121115,0.234001460066661,1.081899714797820,0.473863196498767,1.162622095933180,0.272792364868677,0.356184722014145,0.655735294774877,1.086643048958720,0.282061632555853,2.143568092883210,2.752086339894800,1.137133285211420,0.932760545388447,0.562693820424954,0.941738573600142,0.101659848057330,0.397913975083823,0.473753070459850,0.081744591463080,1.277088354813330,0.196968830279046,0.269951265431390,0.309235547704719,0.736079843968816,1.907961860605530,0.643812860467715,0.618422563863336,0.152748369015763,1.456163429710040,0.855809317168970,1.108305485698120,0.980414551162403,0.189350063838736,1.666783211388880,0.340212718488999,0.696692530460424,0.573769152864318
MCF7,GSK690693_GSK1120212,,0min,0.607446663350853,1.0,0.179640647566065,0.224094027476069,0.710430487913602,1.248977652843110,0.121668315771969,1.583032870152530,1.398278756869100,3.550170500010120,0.431114975509930,0.544616218809310,0.213865130416474,0.749376722588328,1.860387532834830,0.055893125387464,0.683485529448516,0.640530117354773,0.208369290816774,1.131522592150470,0.806854554784047,0.324532288561218,0.339393665832942,0.339346120481534,2.890331838810430,0.944702917637154,0.913670126114675,0.421437704276219,0.058480215017311,0.209134852287546,0.477369917207794,1.169978538485620,0.798839346483166,0.320942846444164,0.158059210582848,0.031244772005623,0.314898947793601,0.089528266035368,0.075639996877597,0.776672248671430,0.318968215536883,0.242533635694788,0.397778090694073,0.228856415733459,0.264850410340399,1.976651148612850,5.051683332910800,0.946575343343590,1.716057458222060,0.633034449994540,0.703482496960722,0.743094242762631,0.393850790358294,1.347958867601870,1.435793196934680,1.854977447560170,0.060459454354761,0.085673194583909,0.442474057556228,0.119127987520658,1.219064853052770,1.266847877697390,0.831987598468871,0.642597963130542,0.379503429970078,0.036819638411791,0.251573664055391,0.501027259591959,6.032614151566670,1.843894180298780,1.078479428457840,1.300406823214020,0.679304373624917,1.393935116807160,2.261310807464290,2.916120126026550,0.565239268609142,1.409201931114310,1.455314088687880,0.204115925126925,1.312602953973140,0.271404177444904,0.076581657932366,0.706213197424312,0.147046040241302,0.471267311380492,0.505431930460844,0.259917985979607,1.105838274302030,0.907532254605202,0.422242500345659,0.222100251083350,0.544875255789253,3.803882389760930,0.379977222542536,1.028961489389140,1.862306370313890,0.731531307924167,1.511381960101030,0.637435251268896,0.447285777700190,0.771767400073458,0.174440201357554,0.244747241376037,11.931286524529000,2.162343222334700,0.590564243346910,0.156483345320385,1.947297056095050,0.427947477803603,1.145903315299810,0.328326010921143,1.133980228148770,0.107931342628856,0.189857203840409,0.219100026048196,1.059590602009300,0.493880324477271,1.219695999315590,0.271758015629967,0.343076922828257,0.697022079461072,0.964788410397808,0.239942386425081,1.829144497929700,2.862521656404830,1.190213400323300,1.012955309900900,0.558140912129439,0.909250581189387,0.111055044679295,0.463995702688224,0.423342167405366,0.105141297797588,1.145605993845340,0.191285259950186,0.218040751505156,0.278068163178364,0.633068600317123,2.150188409442980,0.575744166216960,0.609773576448396,0.162856896502334,1.085530459544480,0.941684103518384,1.210108387291820,1.004667977080080,0.204455766702450,2.040399578696820,0.395060386832278,0.562792190293458,0.616547485874875
