,,,,,QC Score,0.896889765530298,0.942308622400703,0.942481268261950,0.948798475063194,0.960877733181361,0.967739569050308,0.970263861283007,0.969685760071163,0.950806259026464,0.871026221292704,0.953587042176417,0.968249096718497,0.967584666221486,0.935307162045295,0.965121175247225,0.952495356451704,0.962163784609635,0.900928015879960,0.955901406390008,0.955844705132953,0.966459644664546,0.950537117976324,0.969343848408715,0.901468350666102,0.962856423318940,0.925238003195735,0.972121856370878,0.956991659665077,0.968167093726964,0.902411323420329,0.928963761028584,0.953046297106098,0.969254912912768,0.967241041223378,0.927297145052594,0.955009074436523,0.944196358424449,0.871317510535504,0.935581118213379,0.965016644080032,0.932053930859506,0.932651978454045,0.952298042216603,0.919821396411821,0.962070884869843,0.954778292426142,0.914967842231166,0.967062369261682,0.917252340321757,0.965671364229005,0.963405665940246,0.962430291680414,0.959285081523960,0.974088332860081,0.981242236916845,0.963842614239167,0.952154724140509,0.950653606874309,0.961014362699901,0.965589178338088,0.935271786920289,0.949464303635416,0.968499198112413,0.952961318070707,0.878214621444953,0.960783811809901,0.951366154771416,0.972418966949590,0.966052746586858,0.978013536451255,0.944820237965123,0.950298744585647,0.966020192951591,0.927688047571718,0.965518555067079,0.947481731406653,0.910241414208267,0.929053370640284,0.972443383081006,0.903113613156095,0.936342976491320,0.959794703151959,0.964761051994600,0.936380811587534,0.967749288561128,0.961769508506770,0.976188387583392,0.978072605926715,0.970736764028383,0.972285384429637,0.970308843789655,0.852810088492834,0.899220872230916,0.958575065444093,0.974055241301369,0.947678556799976,0.972329130458906,0.951699222690812,0.916042108077014,0.945966040868728,0.942383568296840,0.959597165914161,0.970341875638449,0.922312505316891,0.957770039182752,0.969254680313658,0.945473564953206,0.971847398983490,0.963945080561441,0.962715256301517,0.875850367592540,0.972806464101900,0.973226734880047,0.943215988118185,0.965456743440469,0.962947155024926,0.974050729693420,0.944854411353716,0.926541473510635,0.962584673156198,0.942823794551479,0.962230161533754,0.956064832584480,0.896935501970547,0.976365411062549,0.939889867255834,0.953679430814320,0.951997064460519,0.956414062311977,0.966700040604372,0.953726122765848,0.955638738060234,0.975195655252744,0.957517712363455,0.951340422815558,0.947448736676019,0.956208443806431,0.882984431001922,0.973637709693827,0.951328732613910,0.970083831599248,0.940610201235161,0.961505957427217,0.951495111346749,0.963678094892176,0.957842660399794,0.934791241033769,0.943787012926995,0.963624738095853,0.975905808058657,0.953140348470784,0.936995929519105,0.961637389695159,0.970473614927646,0.937279912215633,0.895257435154089,0.973662390942658,0.978540527688913,0.938361395989726,0.970894975816822
,,,,,Slide ID,14-3-3_beta-R-V_GBL9028430,14-3-3_epsilon-M-C_GBL9028399,14-3-3_zeta-R-V_GBL9028456,4E-BP1-R-V_GBL9023111,4E-BP1_pS65-R-V_GBL9028254,4E-BP1_pT37_T46-R-V_GBL9028407,53BP1-R-E_GBL9028352,ACC_pS79-R-V_GBL9028255,ACC1-R-C_GBL9028256,ACVRL1-R-C_GBL9028441,Akt-R-V_GBL9028468,Akt_pS473-R-V_GBL9028258,Akt_pT308-R-V_GBL9028259,alpha-Catenin-M-V_GBL9028388,AMPK_alpha-R-C_GBL9028260,AMPK_pT172-R-V_GBL9028261,Annexin_I-R-E_GBL9028334,Annexin_VII-M-V_GBL9028447,AR-R-V_GBL9028331,B-Raf-M-C_GBL9028448,Bad_pS112-R-V_GBL9028262,Bak-R-C_GBL9028263,Bax-R-V_GBL9028264,Bcl-2-M-V_GBL9028392,Bcl-xL-R-V_GBL9028267,Beclin-G-C_GBL9028405,beta-Catenin-R-V_GBL9028453,Bid-R-C_GBL9028268,Bim-R-V_GBL9028269,c-Kit-R-V_GBL9028276,c-Met_pY1235-R-V_GBL9028327,c-Myc-R-C_GBL9028432,C-Raf-R-V_GBL9028337,C-Raf_pS338-R-E_GBL9028278,Caspase-7_cleavedD198-R-C_GBL9028271,Caspase-9_cleavedD330-R-E_GBL9028351,Caveolin-1-R-V_GBL9028464,CD31-M-V_GBL9028393,CD49b-M-V_GBL9028446,CDK1-R-V_GBL9028353,Chk1-R-C_GBL9028273,Chk1_pS345-R-E_GBL9028346,Chk2-M-E_GBL9028376,Chk2_pT68-R-C_GBL9028274,cIAP-R-V_GBL9028349,Claudin-7-R-V_GBL9028341,Collagen_VI-R-V_GBL9028473,Cyclin_B1-R-V_GBL9028465,Cyclin_D1-R-V_GBL9028369,Cyclin_E1-M-V_GBL9028394,DJ-1-R-E_GBL9028344,Dvl3-R-V_GBL9028350,E-Cadherin-R-V_GBL9028418,eEF2-R-E_GBL9028356,eEF2K-R-V_GBL9028357,EGFR-R-V_GBL9028365,EGFR_pY1068-R-C_GBL9028281,EGFR_pY1173-R-V_GBL9028282,eIF4E-R-V_GBL9028326,eIF4G-R-C_GBL9028469,ER-alpha-R-V_GBL9028370,ER-alpha_pS118-R-V_GBL9028284,Fibronectin-R-V_GBL9028286,FoxM1-R-V_GBL9028419,FOXO3a-R-C_GBL9028366,Gab2-R-V_GBL9028413,GATA3-M-V_GBL9028398,GSK3-alpha-beta-M-V_GBL9028396,GSK3-alpha-beta_pS21_S9-R-V_GBL9028288,GSK3_pS9-R-V_GBL9028362,HER2-M-V_GBL9028450,HER2_pY1248-R-C_GBL9028437,HER3-R-V_GBL9028375,HER3_pY1298-R-C_GBL9028328,IGFBP2-R-V_GBL9028290,INPP4B-G-E_GBL9028406,IRS1-R-V_GBL9028336,JNK_pT183_pT185-R-V_GBL9028343,JNK2-R-C_GBL9028292,K-Ras-M-E_GBL9028403,Lck-R-V_GBL9028408,MAPK_pT202_Y204-R-V_GBL9028293,MEK1-R-V_GBL9028294,MEK1_pS217_S221-R-V_GBL9028360,MGMT-M-V_GBL9028436,MIG-6-M-V_GBL9028390,MSH2-M-E_GBL9028387,MSH6-R-C_GBL9028358,mTOR-R-V_GBL9028296,mTOR_pS2448-R-E_GBL9028297,MYH11-R-V_GBL9028471,N-Cadherin-R-V_GBL9028298,N-Ras-M-V_GBL9028452,NDRG1_pT346-R-V_GBL9028422,NF-kB-p65_pS536-R-C_GBL9028299,NF2-R-C_GBL9028354,Notch1-R-V_GBL9028359,Notch3-R-C_GBL9028372,p27-R-V_GBL9028345,p27_pT157-R-C_GBL9028340,p27_pT198-R-V_GBL9028342,p38_MAPK-R-C_GBL9028300,p38_pT180_Y182-R-V_GBL9028301,p53-R-E_GBL9028302,p70S6K-R-V_GBL9028303,p70S6K_pT389-R-V_GBL9028304,p90RSK_pT359_S363-R-C_GBL9028332,Paxillin-R-V_GBL9028305,PCNA-M-V_GBL9028397,PDCD4-R-C_GBL9028411,PDK1-R-V_GBL9028409,PDK1_pS241-R-V_GBL9028307,PEA15-R-V_GBL9028414,PEA15_pS116-R-V_GBL9028415,PI3K-p110-alpha-R-C_GBL9028338,PI3K-p85-R-V_GBL9028308,PKC-alpha-M-V_GBL9028378,PKC-alpha_pS657-R-V_GBL9028309,PKC-delta_pS664-R-V_GBL9028412,PKC-pan_betaII_pS660-R-V_GBL9028426,PR-R-V_GBL9028438,PRAS40_pT246-R-V_GBL9028329,PTEN-R-V_GBL9028312,Rab11-R-V_GBL9028363,Rad50-M-E_GBL9028389,Rad51-M-E_GBL9028380,Raptor-R-V_GBL9028423,Rb_pS807_S811-R-V_GBL9028311,RBM15-R-V_GBL9028470,Rictor-R-C_GBL9028424,Rictor_pT1135-R-V_GBL9028425,S6_pS235_S236-R-V_GBL9028314,S6_pS240_S244-R-V_GBL9028315,SCD1-M-V_GBL9028451,SF2-M-E_GBL9028459,Smad1-R-V_GBL9028348,Smad3-R-V_GBL9028335,Smad4-M-V_GBL9028400,Src-M-V_GBL9028383,Src_pY416-R-E_GBL9028316,Src_pY527-R-V_GBL9028317,STAT3_pY705-R-V_GBL9028318,STAT5-alpha-R-V_GBL9028319,Stathmin-R-V_GBL9028325,Syk-M-V_GBL9028401,TAZ-R-V_GBL9028410,TAZ_pS89-R-E_GBL9028373,TIGAR-R-V_GBL9028364,Transglutaminase-M-V_GBL9028449,TRFC-R-V_GBL9028461,TSC1-R-C_GBL9028421,TTF1-R-V_GBL9028361,Tuberin-R-E_GBL9028320,VEGFR2-R-V_GBL9028322,VHL-M-C_GBL9028462,XRCC1-R-E_GBL9028347,YAP-R-V_GBL9028374,YAP_pS127-R-C_GBL9028333,YB-1-R-V_GBL9028440,YB-1_pS102-R-V_GBL9028339
,,,,,Antibody Name,14-3-3-beta,14-3-3-epsilon,14-3-3-zeta,4EBP1,4EBP1_pS65,4EBP1_pT37_pT46,53BP1,ACC_pS79,ACC1,ACVRL1,AKT,AKT_pS473,AKT_pT308,alpha-catenin,AMPK-alpha,AMPK_pT172,Annexin-I,Annexin-VII,AR,B-Raf,BAD_pS112,BAK,BAX,BCL-2,Bcl-xL,Beclin,beta-catenin,BID,BIM,c-KIT,c-Met_pY1235,c-Myc,c-Raf,c-Raf_pS338,Caspase-7_cleavedD198,Caspase-9_cleavedD330,Caveolin-1,CD31,CD49B,CDK1,CHK1,CHK1_pS345,CHK2,CHK2_pT68,cIAP,Claudin-7,Collagen-VI,Cyclin-B1,Cyclin-D1,Cyclin-E1,DJ-1,Dvl3,E-Cadherin,eEF2,eEF2K,EGFR,EGFR_pY1068,EGFR_pY1173,eIF4E,eIF4G,ER-alpha,ER-alpha_pS118,Fibronectin,FoxM1,FOXO3a,Gab2,GATA3,GSK3-alpha-beta,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2,HER2_pY1248,HER3,HER3_pY1298,IGFBP2,INPP4B,IRS1,JNK_pT183_pT185,JNK2,k-Ras,Lck,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MGMT,MIG-6,MSH2,MSH6,mTOR,mTOR_pS2448,MYH11,N-Cadherin,N-Ras,NDRG1_pT346,NF-kB-p65_pS536,NF2,Notch1,Notch3,p27,p27_pT157,p27_pT198,p38_MAPK,p38_pT180_Y182,p53,p70S6K,p70S6K_pT389,p90RSK_pT359_S363,Paxillin,PCNA,PDCD4,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PI3K_p110-alpha,PI3K_p85,PKC-alpha,PKC-alpha_pS657,PKC-delta,PKC-pan-betaII_pS660,PR,PRAS40_pT246,PTEN,Rab11,Rad50,Rad51,Raptor,Rb_pS807_S811,RBM15,Rictor,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,SCD1,SF2,Smad1,Smad3,Smad4,Src,Src_pY416,Src_pY527,STAT3_pY705,STAT5-alpha,Stathmin,Syk,TAZ,TAZ_pS89,TIGAR,Transglutaminase II,TFRC,TSC1,TTF1,Tuberin,VEGFR2,VHL,XRCC1,YAP,YAP_pS127,YB-1,YB-1_PS102
,,,,,HUGO ID,YWHAB,YWHAE,YWHAZ,EIF4EBP1,EIF4EBP1_pS65,EIF4EBP1_pT37_pT46,TP53BP1,ACACA_pS79.ACACB_pS79,ACACA,ACVRL1,AKT1.AKT2.AKT3,AKT1_pS473.AKT2_pS473.AKT3_pS473,AKT1_pT308.AKT2_pT308.AKT3_pT308,CTNNA1,PRKAA1.PRKAA2,PRKAA1_pT172.PRKAA2_pT172,ANXA1,ANXA7,AR,BRAF,BAD_pS112,BAK1,BAX,BCL2,BCL2L1,BECN1,CTNNB1,BID,BCL2L11,KIT,MET_pY1235,MYC,RAF1,RAF1_pS338,CASP7,CASP9,CAV1,PECAM1,ITGA2,CDK1,CHEK1,CHEK1_pS345,CHEK2,CHEK2_pT68,BIRC2,CLDN7,COL6A1,CCNB1,CCND1,CCNE1,PARK7,DVL3,CDH1,EEF2,EEF2K,EGFR,EGFR_pY1068,EGFR_pY1173,EIF4E,EIF4G1,ESR1,ESR1_pS118,FN1,FOXM1,FOXO3,GAB2,GATA3,GSK3A.GSK3B,GSK3A_pS9_pS21.GSK3B_pS9_pS21,GSK3A_pS9.GSK3B_pS9,ERBB2,ERBB2_pY1248,ERBB3,ERBB3_pY1298,IGFBP2,INPP4B,IRS1,MAPK8_pT183_pT185,MAPK9,KRAS,LCK,MAPK1_pT202_Y204.MAPK3_pT202_Y204,MAP2K1,MAP2K1_pS217_S221,MGMT,ERRFI1,MSH2,MSH6,MTOR,MTOR_pS2448,MYH11,CDH2,NRAS,NDRG1_pT346,RELA_p65_pS536,NF2,NOTCH1,NOTCH3,CDKN1B,CDKN1B_pT157,CDKN1B_pT198,MAPK14,MAPK14_pT180_Y182,TP53,RPS6KB1,RPS6KB1_pT389,RPS6KA1_pT359_S363,PXN,PCNA,PDCD4,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PIK3CA,PIK3R1,PRKCA,PRKCA_pS657,PRKCD,PRKCA_pS660.PRKCB_pS660.PRKCD_pS660.PRKCE_pS660.PRKCH_pS660.PRKCQ_pS660,PGR,AKT1S1_pT246,PTEN,RAB11A.RAB11B,RAD50,RAD51,RPTOR,RB1_pS807_S811,RBM15,RICTOR,RICTOR_pT1135,RPS6_pS235_S236,RPS6_pS240_S244,SCD,SRSF1,SMAD1,SMAD3,SMAD4,SRC,SRC_pY416,SRC_pY527,STAT3_pY705,STAT5A,STMN1,SYK,WWTR1,WWTR1_pS89,C12orf5,TGM2,TFRC,TSC1,TTF1,TSC2,KDR,VHL,XRCC1,YAP1,YAP1_pS127,YBX1,YBX1_PS102
,,,,,Phospho (In Main),0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Cell Line,Inhibitor,Stimulus,Timepoint,CF,In Main
UACC812,PD173074,,0min,0.997262051383756,1.0,0.704502953191512,0.755939033709984,6.036352508547090,0.743203990046052,2.529860220038300,3.426011745021440,1.591242325701670,0.929696524981338,7.449277478548150,0.454731951280504,6.379027129788640,4.195981136879080,2.432995345444940,0.699893715173444,2.049682061890650,5.666946613198680,1.540830697831590,0.504110577897781,1.474133228238410,3.739413958014440,1.145751716648200,0.926708463159949,2.236118892811460,0.075721140562247,0.878390561987628,0.719964701727830,3.543727964753300,1.085289413978750,1.077450710168670,0.515667967794911,0.894453526278718,1.336939227616090,1.108926138642920,1.237021852434110,0.098295011009566,0.872004006223920,0.055168925309084,0.328602673066930,0.316663292896449,1.829852581477040,0.835681892020485,0.707797554505981,0.242329223367236,0.532133578625081,1.560448153843320,0.688945382583538,1.473704180239210,3.454460073314670,0.693638444912253,1.327331709401030,1.973486058193030,1.158337098236050,4.023245627733150,1.077725309695950,2.254504260376100,0.189628916983131,7.976850514921930,1.768218684680180,3.311877619289340,4.210272706916210,0.703089828881035,1.381090950651030,0.814668537369774,0.665976622633494,0.358244623829389,1.824036132498970,4.069105738348870,3.216155774773780,4.563931648271130,2.329041039647890,4.786727350583660,6.238098790218130,3.152880585265690,2.432941574414240,1.997075547009800,0.769820302099777,0.169347121090321,0.655582294258580,1.327535169845060,0.722193860711719,0.106495735250313,0.573910926695647,1.038384580476000,0.128616425704971,2.103188272098200,0.465474980120265,1.279988199951180,2.135721555812050,3.782809070765400,1.559819069741720,1.103548107638680,0.249382558624083,0.514812489132085,0.783953067652127,1.106713915694990,3.477721639084900,0.564941642438642,1.288581015748120,0.566776802295001,0.913181445326693,0.730348982874962,1.145082214299000,0.640090167848300,0.259680012807267,2.145343043559390,2.601476774508110,0.981668000961402,3.759365647730490,0.897594833029437,5.517367644461820,0.275531790781147,2.373496172475140,1.346966665118560,0.345814646386991,0.818100006338112,1.751197445637860,0.383305730038316,0.822235218213756,0.445715017061453,2.755667685108610,7.460734284174580,4.852716544478670,1.383325138539900,0.291547696699665,2.111780739394660,0.629391863028291,2.499711368302400,5.307441473532800,3.998195230938240,1.424027077729500,2.446744792802730,7.506065300362870,2.518426382255520,0.283540627632473,1.079621008098770,1.171137580904610,1.432901630587020,0.475791206107586,2.733046826232850,3.503716055435720,5.180023170828400,0.694653780893716,1.078201188724460,0.719494892725466,1.313033157294010,0.747145814165331,0.747998895670959,0.743435582328884,0.976412536940087,1.938870962734060,4.930708571821800,0.263409208248547,4.090266813859450,1.503447129021560,4.329954567082350,0.478433636732749,2.216717270123690,3.534070098855020,0.761063802208627,0.750608488837451
UACC812,PD173074,,0min,1.029793038613210,1.0,0.576139813943038,0.698427860279921,9.480233755595350,0.726664692234952,2.430442210943200,3.507657476828670,1.714626423229570,0.737506718600076,10.067161930974301,0.406249475727543,9.478634461086740,4.526202107288240,2.462823729679390,0.618774682009572,1.897460666212720,5.898784827484170,1.510904689145110,0.475367132263571,1.348780396734460,3.527388086936190,1.080784155925810,0.904656433165546,2.224634983777700,0.060975674973184,0.974558459608032,0.698512902379050,4.378277856031910,1.014745572486980,0.984906930989600,0.474177726287849,0.827684220493774,1.231575491791100,1.036185602003810,0.960778765703465,0.112338759658714,0.939829766096227,0.056346839591322,0.292804022684233,0.315722433704770,1.821406358068220,0.803984241544693,0.695935386329810,0.231813977214214,0.472729806505004,1.481227617895190,0.651711364685186,1.465920891358780,3.498815558493640,0.705070080388398,1.284296576215690,2.081843473177640,1.179754612754090,4.878250923844420,1.742063454971600,2.251250657238970,0.202394926111298,18.540348385642002,1.709523135476960,3.367382517583950,4.892873999899380,0.662620571801212,1.380954130691230,0.761909161142500,0.642856000769289,0.393312422686100,1.765022965685110,4.221701834617290,2.829448876096800,4.502821167753500,2.403813527490960,34.921917003412702,12.738343723918000,3.708157556889140,2.493166409146590,1.871334034016930,0.751667028021406,0.160615604219834,0.574130468203954,1.328881200669390,0.624882007350315,0.130748102218428,0.541559301724936,1.003352124117560,0.125176643835973,1.985371387934740,0.474098781192235,1.005478249993520,2.215542622086300,3.445450102607070,1.524992987171810,1.328328195504170,0.239787802241004,0.439252696645178,0.798645866718494,1.064486435746110,4.485162921441400,0.544551590009849,1.273974870494650,0.562372235640083,0.911257686194229,0.658961234783461,1.111391052966900,0.610007087993045,0.217822058692701,1.833207091019880,2.550769718289740,0.918646306767473,3.838700296537790,0.918518474576700,7.248359928026500,0.262696635682530,2.108971396497830,1.395487593550010,0.748025905535836,0.745364018358203,1.518535056237350,0.385175969661449,0.723861137474935,0.397451827420018,2.509720910181050,9.844883802337270,6.450659761795250,1.483519922618560,0.283201642005875,2.130348142049250,0.648422978910965,2.169369026219970,5.518567017824710,4.352622173347100,1.327706050447150,2.408629240867740,12.137119455592000,2.822605065598300,0.244591637791680,1.010724838113090,1.107462994420950,1.510393417450640,0.440458854268124,2.348356580032580,3.354072612718780,5.808458178067990,0.681733518523021,1.028572498583920,0.675278277910235,1.180870138101000,0.675530401638289,0.913163579981310,0.723412859204653,1.172873911446640,2.270606665468670,4.599270082080670,0.328299264138012,4.042955679562910,1.521129137798040,5.486428163960980,0.440091384891324,2.461601430749270,3.995243023310960,0.935401857223751,0.783464637823066
UACC812,GSK690693_GSK1120212,,0min,0.822754905662593,1.0,0.690560205065241,0.767715586355233,7.404898685000960,0.804986951732786,2.185069490221350,3.551479504201840,1.898198701974200,0.708981668437268,6.364132596408700,0.452085114360987,6.569872744531100,7.918711266385290,6.763136835555600,0.730807692228835,1.681637881203620,5.060177984242510,1.641358267455470,0.576837535839790,1.278496960276400,2.824785333146130,0.906596031070357,0.860952050107924,2.455445161321140,0.061936824855658,1.025070696019310,0.881278822127557,3.452033993762160,1.082150055679530,1.186063821332840,0.522409576718847,0.925818084830372,0.820729733484347,0.975578594860170,1.032018384595180,0.100544835433569,0.989947140267544,0.047095376771707,0.336086171076220,0.343515373327951,1.885168030034470,0.794630894067388,0.674617208258960,0.271903962728463,0.516877003477345,1.510360101681700,0.599042371890717,1.664286792617390,3.569896081447650,0.781467718993317,1.477764900416570,2.187681359004690,1.258064163823820,5.128065706403520,1.521069411381390,2.493001020630740,0.198583257442734,10.481598239845100,1.802277573441140,3.334316412498510,4.748047350358950,0.602603845447039,1.336622950631730,0.891723957174223,0.794107530883673,0.453756099832500,2.063076773608780,4.350939901664940,2.866257642298090,3.740147499334910,1.980412769051300,5.841526803388770,7.785933682684490,3.550578258002820,2.697580312729780,2.235369755815330,0.853423841321397,0.182719599342446,0.650705713964992,1.217892505318910,0.726038041843108,0.124584621643723,0.123704893756591,1.137625365843100,0.123850167723973,2.162540085853540,0.522549872802622,1.035754454855150,1.935075679724110,2.501951470769760,1.064208645875210,1.231736620266350,0.274655847840528,0.454207387268692,0.737467002518264,1.034401526623490,3.696114539772990,0.613840060137888,1.568580923881360,0.600160348708105,1.038022109899150,0.725877166227581,1.279865608138640,0.737510682537125,0.247841014611002,2.091748879784740,1.559617221608870,1.030064221804080,4.194883083235070,1.063496515564690,5.690701796321380,0.284441403176573,2.338198254692770,1.467130584671090,0.962022953363787,0.778255792903323,1.646100707214080,0.392691908249720,0.736760445957837,0.436834351774490,2.195726742339980,6.686811647787100,4.830413535037350,1.495843676036240,0.281133092372504,2.298562615655650,0.615159544788975,1.731926242634150,4.236424407073690,4.112385390582120,1.236749207875830,1.629584115235270,5.810786726971440,2.039467708183170,0.238678542201584,1.082698794293120,1.064274896573200,1.580845472704110,0.499177807575265,2.352171370569100,3.713865928266700,5.020552247201630,0.800908318675586,0.882509380487718,0.707353727536379,1.136544687697650,0.786327058591065,0.983353594431535,0.829637624928368,1.138852611220050,1.876775549753390,4.422862732089120,0.361410841235807,3.355631677043770,1.393282763698810,3.875301138617100,0.513607124291442,2.562978331389970,3.713268540481310,1.154714943523660,0.836846982095320
UACC812,GSK690693_GSK1120212,,0min,0.790890434336098,1.0,0.620321421563550,0.693163102679130,10.988112097793501,0.868900314822407,2.362416415731300,3.779819576698380,1.941271315143400,0.630276390274023,6.591311901119040,0.434437378511150,8.789614190972561,12.640070959294100,7.937127234408720,0.707443067849406,1.678597737609420,5.420903704430130,1.548219938172330,0.552721162530225,1.235263544199150,2.845128121891770,1.021953473726780,0.884830118157060,2.686246450770760,0.053585012233145,1.070725292312140,0.826184945671576,3.480585187640030,1.108155219796320,1.184073138135760,0.496751509123404,0.817692444776370,0.862519615687112,0.941446805315220,1.018097802090170,0.100860712390949,0.932221492865592,0.064072687690509,0.234165993520056,0.311126685386262,2.060038360540460,0.772367240413309,0.656471927244391,0.262543654359624,0.486405236789454,1.384683425465520,0.553496205783744,1.742009021630140,3.559961938122510,0.745424180792553,1.400158208715040,2.168472917918140,1.238454257565370,5.347322405029230,1.635827806287860,2.468345117630280,0.221037090515380,24.239271090991700,1.854284939656110,3.322919392440230,5.269878216453620,0.555929535710368,1.304721345385680,0.886627447118143,0.761398496653079,0.445624392676442,2.045324899862150,4.324922646060920,2.558122593491970,3.666356593038810,1.921373516737110,45.691476760832700,17.122496182031000,3.715053238637830,2.752048754204060,2.107056783966640,0.819210090349609,0.182655360801406,0.626616534426931,1.152028239254800,0.650519496161939,0.116139267369770,0.096933306177564,1.111268526770170,0.135159667299041,2.050220365574280,0.481743824737961,0.919629066924951,1.863590690284850,2.224292880744380,1.013920541660620,1.355704007483520,0.245022464473695,0.427641001056193,0.782278164694785,1.089096332385650,4.274441174678190,0.631511028230517,1.563383693719440,0.582282187568284,1.018228180613420,0.728975611297212,1.247964788107450,0.672603242271867,0.220921024418876,2.033618691204920,1.816134470064340,0.886578569172190,4.447993872053220,1.064215439692530,6.580747162636010,0.258955195923738,2.314649885325620,1.467824280635120,1.118995987016910,0.775064296129413,1.606084580090830,0.375125261458270,0.667337775326254,0.404840821239023,2.128261238099440,8.873012478885281,6.268102268030720,1.467353778747640,0.277606809061442,2.316789813816880,0.602289783639926,1.660983339574780,4.168409286521490,3.956746240795030,1.187077246637010,1.654854000049930,8.161267656084970,2.333116275148580,0.221168128319224,0.930601679223074,1.031679421041920,1.688444175171170,0.464367617322371,2.279980874516410,3.948197963035180,5.441747738242140,0.766283318964971,0.860634210098259,0.778202006087964,1.063254240284810,0.768156339033905,0.938963620260867,0.803595332965670,1.153432601468810,1.686367750169490,4.406817732482290,0.350170581274967,3.206172322972250,1.408109275159930,4.159463486218260,0.505293376661219,2.863927913057430,4.010529455162360,1.177617960881670,0.762464239695008
